scorer,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000
bodyparts,Snout,Snout,Snout,LFL,LFL,LFL,RFL,RFL,RFL,LHL,LHL,LHL,RHL,RHL,RHL,Tailtip,Tailtip,Tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,109.1825383,204.9377728,1,18.44476032,211.0493109,0.999999642,45.2618556,215.4993811,1,18.91026282,213.8000116,1,37.58446884,212.0826149,0.00259523,116.1530375,205.2312603,0.001187706
83,111.0060811,205.5587454,1,20.48202991,211.2172599,0.999803483,45.36744118,215.5412045,1,19.14573324,214.9466476,1,37.28492117,212.8155603,0.001963741,117.9372697,207.9468126,0.000965234
84,110.9280884,205.4137411,1,20.52516651,211.1946845,0.999834895,44.87152481,214.1815565,1,19.1413269,214.9355602,1,37.23381329,212.8341184,0.001644481,117.8932066,207.9355927,0.000881004
85,113.0209594,206.2519865,1,21.8333168,211.3092195,0.973773301,46.14937782,215.3669119,1,19.29965782,214.0578938,1,38.02890205,212.4191055,0.001135299,119.0703917,208.2301159,0.001086605
86,113.0618911,206.3041191,1,21.92772293,211.2042957,0.974990547,46.34985113,215.2843666,1,19.13076597,214.064888,1,37.9357481,212.4172044,0.001451584,729.8497758,205.4393305,0.001146987
87,114.496415,206.5886955,1,22.23467827,211.7615944,0.188457549,45.48416495,214.77318,1,20.89105558,213.1550827,1,18.51067162,212.4313216,0.005695472,730.7871932,205.282655,0.001183844
88,114.4803364,206.5921087,1,22.22970867,211.7445538,0.202363893,45.47729266,214.7610435,1,20.92392325,213.1481256,1,18.5605588,212.4177551,0.005315429,730.8222935,205.4160991,0.001125398
89,116.1928553,205.8316545,1,22.6512804,211.7279328,0.058393277,45.74118173,214.6358747,1,21.34640896,213.2624598,1,19.30981874,211.9598007,0.00344082,-1.982246399,204.0133806,0.000901146
90,116.1928553,205.8316545,1,22.6512804,211.7279328,0.058393277,45.74118173,214.6358747,1,21.34640896,213.2624598,1,19.30981874,211.9598007,0.00344082,-1.982246399,204.0133806,0.000901146
91,118.5384452,205.5077763,1,28.18224049,211.6545607,0.079742327,45.75910771,214.2821131,1,21.33529782,213.5475082,1,19.27420473,211.8496037,0.001640856,-1.922143936,204.0716896,0.000946584
